Datacenter,SqlInstance,DatabaseName,State,RecoveryModel,LastFull,TimeSince LastFull_inDays,FullBackupSize,LastT-Log,TimeSince LastT-Log_inMins,T-LogBackupSize,LastUpdated
HKDC,P062RL1JSQL00.apcust.local\EDDS,INV6760034,ONLINE,FULL,31-03-2023 20:46,5,0.01,05-04-2023 17:57,6,0,05-04-2023 03:04
HKDC,P062RL1JSQL00.apcust.local\EDDS,INV7596587,ONLINE,FULL,31-03-2023 20:46,5,0.04,05-04-2023 17:57,6,0,05-04-2023 03:04
HKDC,P062RL1JSQL00.apcust.local\EDDS,INV7622015,ONLINE,FULL,31-03-2023 20:46,5,0.03,05-04-2023 17:57,6,0,05-04-2023 03:04
HKDC,P062RL1JSQL00.apcust.local\EDDS,INV7740944,ONLINE,FULL,31-03-2023 20:46,5,0.11,05-04-2023 17:57,6,0,05-04-2023 03:04
HKDC,P062RL1JSQL00.apcust.local\EDDS,Invariant,ONLINE,SIMPLE,31-03-2023 20:37,5,9.55,,,,05-04-2023 03:04
HKDC,P062RL1JSQL00.apcust.local\EDDS,SecretStore,ONLINE,FULL,31-03-2023 20:44,5,37.32,05-04-2023 17:57,6,0,05-04-2023 03:04
HKDC,P062RL1JSQL01.apcust.local\DIS01,EDDS7037666,ONLINE,FULL,29-03-2023 04:34,7,18.71,05-04-2023 17:48,16,0,05-04-2023 03:04
HKDC,P062RL1JSQL01.apcust.local\DIS01,EDDS7036000,ONLINE,FULL,31-03-2023 21:14,5,7.1,05-04-2023 17:48,16,0,05-04-2023 03:04
HKDC,P062RL1JSQL01.apcust.local\DIS01,EDDS7008167,ONLINE,FULL,30-03-2023 05:40,6,148.73,05-04-2023 17:48,16,0,05-04-2023 03:04
HKDC,P062RL1JSQL01.apcust.local\DIS01,EDDS4943921,ONLINE,FULL,03-04-2023 06:15,2,1.63,05-04-2023 18:02,2,0,05-04-2023 03:04
HKDC,P062RL1JSQL01.apcust.local\DIS01,EDDS7497581,ONLINE,FULL,29-03-2023 03:22,7,3.52,05-04-2023 17:49,15,0,05-04-2023 03:04
HKDC,P062RL1JSQL01.apcust.local\DIS01,EDDS4943260,ONLINE,FULL,03-04-2023 10:19,2,168.71,05-04-2023 18:02,2,0,05-04-2023 03:04
HKDC,P062RL1JSQL01.apcust.local\DIS01,EDDS7489607,ONLINE,FULL,03-04-2023 00:00,2,0.31,05-04-2023 17:48,16,0,05-04-2023 03:04
HKDC,P062RL1JSQL01.apcust.local\DIS01,EDDS7038231,ONLINE,FULL,30-03-2023 05:42,6,13.09,05-04-2023 17:48,16,0,05-04-2023 03:04
HKDC,P062RL1JSQL01.apcust.local\DIS01,DTIWork,ONLINE,SIMPLE,29-03-2023 08:08,7,59.86,,,,05-04-2023 03:04
HKDC,P062RL1JSQL01.apcust.local\DIS01,EDDS7158457,ONLINE,FULL,03-04-2023 08:39,2,5.99,05-04-2023 17:48,16,0,05-04-2023 03:04
HKDC,P062RL1JSQL01.apcust.local\DIS01,EDDS1014823,ONLINE,FULL,29-03-2023 07:33,7,0.04,05-04-2023 18:00,4,0,05-04-2023 03:04
HKDC,P062RL1JSQL01.apcust.local\DIS01,EDDS7859988,ONLINE,FULL,31-03-2023 21:45,5,0.08,05-04-2023 17:49,15,0,05-04-2023 03:04
HKDC,P062RL1JSQL01.apcust.local\DIS01,EDDS5270191,ONLINE,FULL,29-03-2023 07:04,7,63.63,05-04-2023 18:02,2,0,05-04-2023 03:04
HKDC,P062RL1JSQL01.apcust.local\DIS01,EDDS7859653,ONLINE,FULL,30-03-2023 00:01,6,4.89,05-04-2023 17:49,15,0,05-04-2023 03:04
HKDC,P062RL1JSQL01.apcust.local\DIS01,EDDS5228497,ONLINE,FULL,29-03-2023 08:01,7,252.91,05-04-2023 18:02,2,0,05-04-2023 03:04
HKDC,P062RL1JSQL01.apcust.local\DIS01,EDDS7740944,ONLINE,FULL,03-04-2023 00:00,2,0.45,05-04-2023 17:49,15,0,05-04-2023 03:04
